row,episode,episode_step_start,episode_step_end,window_index,chunk_index,label,credit_source,policy_subtask,policy_command,relabeled_subtask,relabeled_command,n_suggested,policy_subtask_raw
73,2,341,350,6,4,BAD,precursor,The vehicle normally accelerates and makes a slight right adjustment to follow the route.,accelerate,"The vehicle remains stopped, steadily maintaining its position.",stop,1,<loc1022>The vehicle normally accelerates and makes a slight right adjustment to follow the route.;<loc1021>
74,2,351,360,6,5,BAD,direct,The vehicle accelerates normally and makes a wide right adjustment.,accelerate,"The vehicle remains stopped, steadily maintaining its position.",stop,1,<loc1022>The vehicle accelerates normally and makes a wide right adjustment.;<loc1021>
75,2,361,370,6,6,BAD,direct,The vehicle accelerates normally while making a sharp left adjustment.,accelerate,"The vehicle remains stopped, steadily maintaining its position.",stop,1,<loc1022>The vehicle accelerates normally while making a sharp left adjustment.;<loc1021>
76,2,371,380,6,7,BAD,direct,The vehicle accelerates normally and makes a slight right adjustment.,accelerate,"The vehicle remains stopped, steadily maintaining its position.",stop,1,<loc1022>The vehicle accelerates normally and makes a slight right adjustment.;<loc1021>
77,2,381,390,6,8,BAD,direct,The vehicle normally accelerates to speed and then makes a sharp left adjustment.,accelerate,"The vehicle remains stopped, steadily maintaining its position.",stop,1,<loc1022>The vehicle normally accelerates to speed and then makes a sharp left adjustment.;<loc1021>
78,2,391,391,6,9,BAD,direct,The vehicle accelerates normally through the junction with a smooth leftward adjustment.,accelerate,"The vehicle remains stopped, steadily maintaining its position.",stop,1,<loc1022>The vehicle accelerates normally through the junction with a smooth leftward adjustment.;<loc1021>
79,3,1,10,7,0,,,The vehicle accelerates normally to follow the route and reach the speed limit.,accelerate,"The vehicle remains stopped normally, maintaining its position.",stop,1,<loc1022>The vehicle accelerates normally to follow the route and reach the speed limit.;<loc1021>
80,3,11,20,7,1,,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle remains stopped normally, maintaining its position.",stop,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
81,3,21,30,7,2,,,"The vehicle accelerates to follow the maroon car, then decelerates normally.",accelerate,"The vehicle smoothly decelerates to a stop, maintaining a straight course.",decelerate,1,"<loc1022>The vehicle accelerates to follow the maroon car, then decelerates normally.;<loc1021>"
82,3,31,40,7,3,,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle smoothly decelerates to a stop, maintaining a straight course.",decelerate,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
83,3,41,50,7,4,GOOD,,The vehicle decelerates smoothly to stay behind the maroon car ahead.,decelerate,"The vehicle smoothly decelerates to a stop, maintaining a straight course.",decelerate,1,<loc1022>The vehicle decelerates smoothly to stay behind the maroon car ahead.;<loc1021>
84,3,51,60,7,5,GOOD,,The vehicle decelerates abruptly to stop behind the maroon SUV.,decelerate,"The vehicle remains stopped normally, maintaining its position.",stop,1,<loc1022>The vehicle decelerates abruptly to stop behind the maroon SUV.;<loc1021>
85,3,61,70,7,6,,,"The vehicle remains stopped, steadily holding its position behind the maroon car.",stop,"The vehicle remains stopped normally, maintaining its position.",stop,1,"<loc1022>The vehicle remains stopped, steadily holding its position behind the maroon car.;<loc1021>"
86,3,71,80,7,7,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle accelerates steadily to follow the vehicle ahead, maintaining a straight course.",accelerate,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
87,3,81,90,7,8,GOOD,,The vehicle follows the route and accelerates normally to follow the maroon car ahead.,follow,"The vehicle accelerates steadily to follow the vehicle ahead, maintaining a straight course.",accelerate,1,<loc1022>The vehicle follows the route and accelerates normally to follow the maroon car ahead.;<loc1021>
88,3,91,100,7,9,,,"The vehicle accelerates to follow the maroon car ahead, maintaining a steady course.",accelerate,"The vehicle follows the route, maintaining a stable speed and centering itself in the lane.",follow,1,"<loc1022>The vehicle accelerates to follow the maroon car ahead, maintaining a steady course.;<loc1021>"
89,3,101,110,7,10,,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle follows the route, maintaining a stable speed and centering itself in the lane.",follow,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
90,3,111,120,7,11,,,"The vehicle normally follows the route, maintaining reduced speed behind the maroon car 11.0 meters ahead.",follow,"The vehicle follows the route, maintaining a stable speed and centering itself in the lane.",follow,1,"<loc1022>The vehicle normally follows the route, maintaining reduced speed behind the maroon car 11.0 meters ahead.;<loc1021>"
91,3,121,130,7,12,,,"The vehicle accelerates normally to follow the maroon car, maintaining a steady course.",accelerate,"The vehicle follows the route, maintaining a stable speed and centering itself in the lane.",follow,1,"<loc1022>The vehicle accelerates normally to follow the maroon car, maintaining a steady course.;<loc1021>"
92,3,131,140,7,13,GOOD,,The vehicle follows the route and accelerates normally to follow the maroon SUV.,follow,"The vehicle follows the route, maintaining a stable speed and centering itself in the lane.",follow,1,<loc1022>The vehicle follows the route and accelerates normally to follow the maroon SUV.;<loc1021>
93,3,141,150,7,14,GOOD,,"The vehicle follows the route, maintaining reduced speed to stay behind the maroon car, with steady lane keeping.",follow,"The vehicle follows the route, maintaining a stable speed and centering itself in the lane.",follow,1,"<loc1022>The vehicle follows the route, maintaining reduced speed to stay behind the maroon car, with steady lane keeping.;<loc1021>"
94,3,151,160,8,0,,,"The vehicle follows the route, maintaining a steady speed behind the maroon car with slight course adjustments.",follow,,,0,"<loc1022>The vehicle follows the route, maintaining a steady speed behind the maroon car with slight course adjustments.;<loc1021>"
95,3,161,170,8,1,,,"The vehicle smoothly decelerates and then accelerates, maintaining a steady lane keeping.",decelerate,,,0,"<loc1022>The vehicle smoothly decelerates and then accelerates, maintaining a steady lane keeping.;<loc1021>"
96,3,171,180,8,2,GOOD,,"The vehicle accelerates to follow the maroon car, maintaining a steady course.",accelerate,"The vehicle cautiously follows the route, maintaining steady lane keeping behind the lead vehicle.",follow,1,"<loc1022>The vehicle accelerates to follow the maroon car, maintaining a steady course.;<loc1021>"
97,3,181,190,8,3,GOOD,,"The vehicle follows the route, maintaining reduced speed to stay behind the maroon car, normally.",follow,"The vehicle cautiously follows the route, maintaining steady lane keeping behind the lead vehicle.",follow,1,"<loc1022>The vehicle follows the route, maintaining reduced speed to stay behind the maroon car, normally.;<loc1021>"
98,3,191,200,8,4,,,"The vehicle follows the route, maintaining a steady speed behind the maroon car 12.7 meters ahead.",follow,,,0,"<loc1022>The vehicle follows the route, maintaining a steady speed behind the maroon car 12.7 meters ahead.;<loc1021>"
99,3,201,210,8,5,,,"The vehicle accelerates to follow the maroon car, then decelerates normally.",accelerate,,,0,"<loc1022>The vehicle accelerates to follow the maroon car, then decelerates normally.;<loc1021>"
100,3,211,220,8,6,,,"The vehicle decelerates to stay behind the maroon car, then accelerates normally.",decelerate,,,0,"<loc1022>The vehicle decelerates to stay behind the maroon car, then accelerates normally.;<loc1021>"
101,3,221,230,8,7,,,"The vehicle follows the route, maintaining reduced speed and steady lane keeping behind the maroon car.",follow,,,0,"<loc1022>The vehicle follows the route, maintaining reduced speed and steady lane keeping behind the maroon car.;<loc1021>"
102,3,231,240,8,8,GOOD,,"The vehicle follows the route, accelerating normally to keep pace with the maroon car ahead.",follow,"The vehicle seamlessly continues forward along the route, maintaining speed and steady lane keeping.",maintain,1,"<loc1022>The vehicle follows the route, accelerating normally to keep pace with the maroon car ahead.;<loc1021>"
103,3,241,250,8,9,GOOD,,"The vehicle accelerates to follow the maroon car, then decelerates normally while maintaining a steady course.",accelerate,"The vehicle seamlessly continues forward along the route, maintaining speed and steady lane keeping.",maintain,1,"<loc1022>The vehicle accelerates to follow the maroon car, then decelerates normally while maintaining a steady course.;<loc1021>"
104,3,251,260,8,10,,,"The vehicle smoothly decelerates to stay behind the maroon car, normally following the route.",decelerate,,,0,"<loc1022>The vehicle smoothly decelerates to stay behind the maroon car, normally following the route.;<loc1021>"
105,3,261,270,8,11,,,The vehicle normally accelerates to target speed with steady lane keeping.,accelerate,,,0,<loc1022>The vehicle normally accelerates to target speed with steady lane keeping.;<loc1021>
106,3,271,280,8,12,GOOD,,The vehicle decelerates normally and makes a slight adjustment to the left.,decelerate,"The vehicle normally follows the route, maintaining its speed with excellent lane centering.",follow,1,<loc1022>The vehicle decelerates normally and makes a slight adjustment to the left.;<loc1021>
107,3,281,290,8,13,GOOD,,The vehicle accelerates to speed limit and then decelerates normally.,accelerate,"The vehicle normally follows the route, maintaining its speed with excellent lane centering.",follow,1,<loc1022>The vehicle accelerates to speed limit and then decelerates normally.;<loc1021>
108,3,291,300,8,14,,,"The vehicle follows the route, maintaining reduced speed with a slight left adjustment.",follow,,,0,"<loc1022>The vehicle follows the route, maintaining reduced speed with a slight left adjustment.;<loc1021>"
109,3,301,310,9,0,BAD,precursor,The vehicle normally decelerates to a stop while maintaining a steady course.,decelerate,"The vehicle cautiously reduces speed, maintaining a steady course.",decelerate,1,<loc1022>The vehicle normally decelerates to a stop while maintaining a steady course.;<loc1021>
110,3,311,320,9,1,BAD,precursor,The vehicle normally accelerates to target speed and then decelerates while making a slight adjustment to the right.,accelerate,The vehicle steadily decelerates while maintaining a straight course.,decelerate,1,<loc1022>The vehicle normally accelerates to target speed and then decelerates while making a slight adjustment to the right.;<loc1021>
111,3,321,330,9,2,BAD,precursor,"The vehicle follows the route with steady lane keeping, normally maintaining its current speed.",follow,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,1,"<loc1022>The vehicle follows the route with steady lane keeping, normally maintaining its current speed.;<loc1021>"
112,3,331,340,9,3,BAD,precursor,The vehicle smoothly adjusts course to the left while accelerating normally to merge with traffic.,maintain,"The vehicle decelerates smoothly to a stop, driving cautiously.",decelerate,1,<loc1022>The vehicle smoothly adjusts course to the left while accelerating normally to merge with traffic.;<loc1021>
113,3,341,350,9,4,BAD,direct,The vehicle normally accelerates and makes a wide left adjustment around the construction site.,accelerate,"The vehicle decelerates smoothly to a stop, driving cautiously.",decelerate,1,<loc1022>The vehicle normally accelerates and makes a wide left adjustment around the construction site.;<loc1021>
